Date,Geberas trend,Flower trend,Month,Year
2020-04-26 00:00:00,56,72,4,2020
2020-05-03 00:00:00,94,100,5,2020
2020-05-10 00:00:00,91,73,5,2020
2020-05-17 00:00:00,79,65,5,2020
2020-05-24 00:00:00,54,62,5,2020
2020-05-31 00:00:00,60,55,5,2020
2020-06-07 00:00:00,50,55,6,2020
2020-06-14 00:00:00,55,54,6,2020
2020-06-21 00:00:00,46,52,6,2020
2020-06-28 00:00:00,55,51,6,2020
2020-07-05 00:00:00,56,51,7,2020
2020-07-12 00:00:00,64,50,7,2020
2020-07-19 00:00:00,52,51,7,2020
2020-07-26 00:00:00,54,49,7,2020
2020-08-02 00:00:00,57,49,8,2020
2020-08-09 00:00:00,52,44,8,2020
2020-08-16 00:00:00,53,48,8,2020
2020-08-23 00:00:00,53,45,8,2020
2020-08-30 00:00:00,54,49,8,2020
2020-09-06 00:00:00,55,47,9,2020
2020-09-13 00:00:00,49,46,9,2020
2020-09-20 00:00:00,54,46,9,2020
2020-09-27 00:00:00,46,43,9,2020
2020-10-04 00:00:00,51,43,10,2020
2020-10-11 00:00:00,49,42,10,2020
2020-10-18 00:00:00,55,42,10,2020
2020-10-25 00:00:00,53,39,10,2020
2020-11-01 00:00:00,53,37,11,2020
2020-11-08 00:00:00,45,42,11,2020
2020-11-15 00:00:00,45,40,11,2020
2020-11-22 00:00:00,44,40,11,2020
2020-11-29 00:00:00,46,38,11,2020
2020-12-06 00:00:00,47,39,12,2020
2020-12-13 00:00:00,43,41,12,2020
2020-12-20 00:00:00,36,38,12,2020
2020-12-27 00:00:00,31,37,12,2020
2021-01-03 00:00:00,39,39,1,2021
2021-01-10 00:00:00,45,43,1,2021
2021-01-17 00:00:00,55,45,1,2021
2021-01-24 00:00:00,51,44,1,2021
2021-01-31 00:00:00,59,51,1,2021
2021-02-07 00:00:00,78,67,2,2021
2021-02-14 00:00:00,70,55,2,2021
2021-02-21 00:00:00,49,47,2,2021
2021-02-28 00:00:00,49,51,2,2021
2021-03-07 00:00:00,59,59,3,2021
2021-03-14 00:00:00,44,48,3,2021
2021-03-21 00:00:00,54,51,3,2021
2021-03-28 00:00:00,52,52,3,2021
