Date,HIPC change %,
Nov-13,-0.50,in %
Dec-13,0.10,in %
Jan-14,-0.20,in %
Feb-14,0.40,in %
Mar-14,0.80,in %
Apr-14,0.50,in %
May-14,-0.30,in %
Jun-14,-0.30,in %
Jul-14,0.80,in %
Aug-14,-0.10,in %
Sep-14,0,in %
Oct-14,-0.10,in %
Nov-14,-0.60,in %
Dec-14,-0.20,in %
Jan-15,-0.90,in %
Feb-15,0.60,in %
Mar-15,1.10,in %
Apr-15,0.60,in %
May-15,0.20,in %
Jun-15,-0.40,in %
Jul-15,0.80,in %
Aug-15,-0.30,in %
Sep-15,-0.20,in %
Oct-15,-0.10,in %
Nov-15,-0.60,in %
Dec-15,-0.10,in %
Jan-16,-1,in %
Feb-16,0.60,in %
Mar-16,1,in %
Apr-16,0.10,in %
May-16,0.20,in %
Jun-16,-0.30,in %
Jul-16,0.50,in %
Aug-16,0.10,in %
Sep-16,-0.30,in %
Oct-16,0.30,in %
Nov-16,-0.30,in %
Dec-16,0.20,in %
Jan-17,-0.40,in %
Feb-17,0.70,in %
Mar-17,0.30,in %
Apr-17,0.50,in %
May-17,-0.30,in %
Jun-17,-0.30,in %
Jul-17,0.70,in %
Aug-17,0.20,in %
Sep-17,-0.20,in %
Oct-17,0.10,in %
Nov-17,-0.20,in %
Dec-17,0,in %
Jan-18,-0.10,in %
Feb-18,0.50,in %
Mar-18,0.20,in %
Apr-18,0.60,in %
May-18,0.30,in %
Jun-18,-0.30,in %
Jul-18,1.10,in %
Aug-18,0.10,in %
Sep-18,-0.40,in %
Oct-18,0.40,in %
Nov-18,-0.20,in %
Dec-18,-0.10,in %
Jan-19,0.10,in %
Feb-19,0.90,in %
Mar-19,0.40,in %
Apr-19,0.70,in %
May-19,-0.10,in %
Jun-19,-0.10,in %
Jul-19,1,in %
Aug-19,0.40,in %
Sep-19,-0.60,in %
Oct-19,0.40,in %
Nov-19,-0.40,in %
Dec-19,0.10,in %
Jan-20,-0.80,in %
Feb-20,0.60,in %
Mar-20,0.20,in %
Apr-20,0.50,in %
May-20,-0.10,in %
Jun-20,0.30,in %
Jul-20,1.10,in %
Aug-20,-0.50,in %
Sep-20,-0.20,in %
Oct-20,0.50,in %
Nov-20,-0.80,in %
Dec-20,0.20,in %
Jan-21,-0.20,in %
Feb-21,0.90,in %
Mar-21,0.30,in %
Apr-21,0.50,in %
May-21,0.10,in %
Jun-21,0.20,in %
Jul-21,0.50,in %
Aug-21,0.40,in %
Sep-21,0.10,in %
Oct-21,1.30,in %
Nov-21,0.90,in %
Dec-21,0.70,in %
Jan-22,0.50,in %
Feb-22,0.60,in %
Mar-22,3.60,in %
Apr-22,0.30,in %
May-22,-0.60,in %
Jun-22,0,in %
Jul-22,2.10,in %
Aug-22,2,in %
Sep-22,2.40,in %
Oct-22,1.10,in %
